"id","contrato_id","plano_servico_id","quantidade","valor_unitario","valor_total","modalidade","valor_original","valor_negociado","desconto_percentual","tipo_desconto","valor_desconto","valor_final","economia","vigencia_desconto","periodo_desconto","apos_periodo","forma_pagamento","num_parcelas","valor_parcela","observacoes"
"262","181","22","1","2000.00","2000.00","recorrente","2750.00","2000.00","27.27",NULL,"0.00","2000.00","750.00","permanente",,"valor_original","avista","2","0.00",NULL
"263","181","27","1","1750.00","1750.00","recorrente","1697.00","1750.00","89.69",NULL,"0.00","1750.00","-53.00","permanente",,"valor_original","avista","2","0.00",NULL
"264","182","21","1","16250.00","16250.00","recorrente","2997.00","16250.00","0.00",NULL,"0.00","16250.00","-13253.00","permanente",,"valor_original","avista","2","0.00",NULL
"265","182","22","1","2750.00","2750.00","recorrente","2750.00","2750.00","0.00",NULL,"0.00","2750.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"266","182","25","1","5997.00","5997.00","recorrente","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"267","183","21","1","2500.10","2500.10","recorrente","2997.00","2500.10","16.58",NULL,"0.00","2500.10","496.90","temporario","3","valor_original","avista","2","0.00",NULL
"268","183","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","4","0.00",NULL
"274","188","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"270","185","21","1","2497.00","2497.00","recorrente","2997.00","2497.00","16.68",NULL,"0.00","2497.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"272","187","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"273","187","51","1","2997.00","2997.00","pontual","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","parcelado","6","0.00",NULL
"275","189","38","1","7000.00","7000.00","pontual","20000.00","7000.00","65.00",NULL,"0.00","7000.00","13000.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"438","298","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","4","0.00",NULL
"297","202","56","1","200.00","200.00","pontual","1500.00","200.00","86.67",NULL,"0.00","200.00","1300.00","permanente",,"valor_original","avista","2","0.00",NULL
"414","281","21","1","3000.00","3000.00","recorrente","2997.00","3000.00","89.99",NULL,"0.00","3000.00","-3.00","permanente",,"valor_original","avista","2","0.00",NULL
"298","203","21","1","2497.00","2497.00","recorrente","2997.00","2497.00","16.68",NULL,"0.00","2497.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"284","194","53","1","2000.00","2000.00","pontual","2000.00","2000.00","0.00",NULL,"0.00","2000.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"440","300","22","1","1297.00","1297.00","recorrente","2750.00","1297.00","52.84",NULL,"0.00","1297.00","1453.00","permanente",,"valor_original","avista","2","0.00",NULL
"358","242","22","1","2500.00","2500.00","pontual","2750.00","2500.00","9.09",NULL,"0.00","2500.00","250.00","permanente",,"valor_original","avista","2","0.00",NULL
"356","240","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"302","205","51","1","2997.00","2997.00","pontual","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"301","205","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"299","203","22","1","2000.00","2000.00","recorrente","2750.00","2000.00","27.27",NULL,"0.00","2000.00","750.00","permanente",,"valor_original","avista","2","0.00",NULL
"300","204","57","1","3000.00","3000.00","pontual","3000.00","3000.00","0.00",NULL,"0.00","3000.00","0.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"303","206","46","1","3000.00","3000.00","pontual","5000.00","3000.00","40.00",NULL,"0.00","3000.00","2000.00","permanente",,"valor_original","avista","2","0.00",NULL
"304","207","21","1","3997.00","3997.00","recorrente","2997.00","3997.00","86.69",NULL,"0.00","3997.00","-1000.00","permanente",,"valor_original","avista","2","0.00",NULL
"305","207","22","1","2750.00","2750.00","recorrente","2750.00","2750.00","0.00",NULL,"0.00","2750.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"306","207","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"307","207","46","1","3000.00","3000.00","recorrente","5000.00","3000.00","40.00",NULL,"0.00","3000.00","2000.00","permanente",,"valor_original","avista","2","0.00",NULL
"308","207","40","1","1256.00","1256.00","recorrente","5000.00","1256.00","74.88",NULL,"0.00","1256.00","3744.00","permanente",,"valor_original","avista","2","0.00",NULL
"331","224","27","1","1697.00","1697.00","pontual","1697.00","1697.00","0.00",NULL,"0.00","1697.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"420","285","21","1","2500.00","2500.00","recorrente","2997.00","2500.00","16.58",NULL,"0.00","2500.00","497.00","permanente",,"valor_original","avista","2","0.00",NULL
"334","227","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"429","292","22","1","2500.00","2500.00","pontual","2750.00","2500.00","9.09",NULL,"0.00","2500.00","250.00","permanente",,"valor_original","avista","2","0.00",NULL
"345","235","40","1","5000.00","5000.00","pontual","5000.00","5000.00","0.00",NULL,"0.00","5000.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"346","236","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"355","239","54","1","2997.00","2997.00","pontual","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"354","239","24","1","2700.00","2700.00","recorrente","3997.00","2700.00","32.45",NULL,"0.00","2700.00","1297.00","permanente",,"valor_original","avista","2","0.00",NULL
"353","239","21","1","3497.00","3497.00","recorrente","2997.00","3497.00","88.36",NULL,"0.00","3497.00","-500.00","permanente",,"valor_original","avista","2","0.00",NULL
"350","238","38","1","20000.00","20000.00","pontual","20000.00","20000.00","0.00",NULL,"0.00","20000.00","0.00","permanente",,"valor_original","parcelado","4","0.00",NULL
"351","238","32","1","5000.00","5000.00","recorrente","2997.00","5000.00","83.32",NULL,"0.00","5000.00","-2003.00","permanente",,"valor_original","avista","2","0.00",NULL
"352","238","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"370","253","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"395","269","23","1","4597.00","4597.00","recorrente","3997.00","4597.00","88.52",NULL,"0.00","4597.00","-600.00","permanente",,"valor_original","avista","2","0.00",NULL
