Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Pausado,120238257743730450,TP919 - vv-black-friday-2025-1- body 1- hook3 -  - 14.11,https://fb.me/2641ITRv1UrTkPX,21/11/2025,Pausado,R$ 358,"0,83%",R$ 78,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234887297990450,TP795 - vertical hook 4 body 1 cta 2 -  - 06.10,https://fb.me/1Q0GLEBIfhx7gMd,06/10/2025,Pausado,R$ 354,"1,57%",R$ 113,11,R$ 32,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120235998177230450,TP831 - hook 8 body 2 cta 2 -  - 20.10,https://fb.me/22MgVHNRWAndSZI,21/10/2025,Pausado,R$ 354,"0,78%",R$ 92,1,R$ 354,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120238257743710450,TP924 - vv-black-friday-2025-2- HOOK2 -  - 14.11,https://fb.me/21DILUGEWzsXBM4,21/11/2025,Pausado,R$ 315,"0,65%",R$ 62,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120236070725090450,TP862 - HOOK4body2cta1V_generico -  - 21.10,https://fb.me/2cEWV1TNEYBIuWD,21/10/2025,Ativo,R$ 304,"0,93%",R$ 134,3,R$ 101,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120238257743750450,TP921 - vv-black-friday-2025-1- body 2- hook 2 -  - 14.11,https://fb.me/2gxPR0z6Zu1QRJS,21/11/2025,Pausado,R$ 289,"0,53%",R$ 73,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756359602987,Anúncio #2 - 3 Metricas,https://www.youtube.com/watch?v=lVOifVaz5-Y,04/06/2025,Ativo,R$ 240,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756359602987,Anúncio #2 - 3 Metricas,https://www.youtube.com/watch?v=w_u6dYLfM40,04/06/2025,Ativo,R$ 240,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235997280950450,TP818 - vertical hook 4 body 2 cta 1 -  - 20.10,https://fb.me/2dT6vTnPG8esICD,20/10/2025,Pausado,R$ 199,"1,00%",R$ 95,4,R$ 50,0,0%,-,1,25%,R$ 199,"100,00%",2,"200,00%","R$ 99,38",,,,,0,0%,-
Pausado,120234744115470450,TP782 - CREATORS HOOK 3 REELS -  - 03.10,https://fb.me/1YrzMc8gTtDuDXq,03/10/2025,Pausado,R$ 197,"1,45%",R$ 151,2,R$ 99,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120238257743780450,TP920 - vv-black-friday-2025-1- body 2- hook 1 -  - 14.11,https://fb.me/1QOdlFUw05AcDS7,21/11/2025,Pausado,R$ 190,"0,81%",R$ 102,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235996076220450,TP825 - hook 2 body 2 cta 2 -  - 20.10,https://fb.me/227RwX9JwtHmLCS,20/10/2025,Pausado,R$ 177,"0,93%",R$ 117,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237695786230450,TP890 - hook1body1cta1V -  - 13.10,https://fb.me/22jcaXcNxWIa9bU,13/11/2025,Ativo,R$ 166,"0,64%",R$ 71,1,R$ 166,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Ativo,120237699466620450,TP902 - hOOK1BODY2CTA2 -  - 13.10,https://fb.me/1R8MeF5DEoKrXsp,13/11/2025,Ativo,R$ 164,"0,90%",R$ 105,1,R$ 164,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120233787942130450,TP774 - vv-creators-esther-hook3-estudio -  - 17.09,https://fb.me/1ZCM2fNvI2o2Suq,17/09/2025,Pausado,R$ 155,"1,12%",R$ 133,2,R$ 77,0,0%,-,1,50%,R$ 155,"0,00%",1,"100,00%","R$ 154,58",,,,,0,0%,-
Pausado,120233674303770450,TP754 - vv-remarketing-esther- insta - 2x - 3h -  - 15.09,https://fb.me/26YHzEd82aK8fU6,15/09/2025,Pausado,R$ 140,"1,25%",R$ 175,0,-,0,-,-,1,-,R$ 140,"0,00%",0,"0,00%",,,,,,0,-,-
Ativo,120237696152130450,TP895 - HOOK2BODY2CTA1V -  - 13.10,https://fb.me/2kusIpqEPso7jgT,13/11/2025,Ativo,R$ 124,"1,13%",R$ 87,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,756367601719,Anúncio #1 Pag Alta Conversão,https://www.youtube.com/watch?v=lVOifVaz5-Y,04/06/2025,Ativo,R$ 119,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
